Order_ID,User_ID,Dish_ID,Dish_Name,Ingredients_List,Dish_Rating,Order_Date,Quantity,Order_Price,Delivery_Location,User_Age,User_Gender,User_Preferences,Month,Season,Vendor_ID
185,125,1153,Roti,"Wheat Flour, Water, Ghee",4.3,2024-02-28,1,126,Panihati,36,Female,Vegetarian,Feb,Monsoon,V5
79,111,1305,Poha,"Flattened Rice, Mustard Seeds, Curry Leaves",4.1,2024-01-04,1,65,Naihati,38,Male,Vegetarian,Jan,Monsoon,V2
62,144,1409,Dosa,"Rice, Urad Dal, Potatoes",3.0,2024-03-14,2,176,Jamshedpur,40,Male,Vegetarian,Mar,Summer,V2
18,145,1311,Palak Paneer,"Spinach, Paneer, Tomatoes",2.9,2024-07-09,4,194,Asansol,44,Male,Vegetarian,Jul,Summer,V2
159,103,1380,Aloo Gobi,"Potatoes, Cauliflower",3.3,2024-08-22,1,187,Thiruvananthapuram,40,Male,Vegetarian,Aug,Monsoon,V9
150,135,1377,Dosa,"Rice, Urad Dal, Potatoes",1.3,2024-01-28,3,185,Gaya,46,Female,Vegetarian,Jan,Winter,V1
82,142,1044,Aloo Gobi,"Potatoes, Cauliflower",4.7,2024-03-28,2,125,Korba,43,Female,Vegetarian,Mar,Monsoon,V10
138,127,1060,Korma,"Meat or Vegetables, Yogurt",4.0,2024-01-26,1,187,Bardhaman,42,Male,Non-Vegetarian,Jan,Winter,V3
71,125,1490,Roti,"Wheat Flour, Water, Ghee",2.2,2024-07-20,2,84,Khora ,32,Male,Vegetarian,Jul,Monsoon,V4
197,133,1021,Chawal,"Rice, Water",4.2,2024-06-22,5,69,Kavali,44,Male,Vegetarian,Jun,Summer,V2
92,133,1356,Sabudana Khichdi,"Sabudana, Peanuts, Potatoes",2.8,2024-07-29,4,193,Mau,30,Female,Vegetarian,Jul,Monsoon,V5
81,123,1191,Rajma Chawal,"Kidney Beans, Rice",3.6,2024-03-17,5,129,Patna,39,Female,Vegetarian,Mar,Summer,V2
48,139,1343,Sarson Ka Saag,"Mustard Greens, Spinach",3.5,2024-08-27,3,110,Bulandshahr,42,Male,Vegetarian,Aug,Monsoon,V3
63,112,1068,Matar Paneer,"Paneer, Peas, Tomatoes",1.9,2024-03-30,1,60,Haridwar,33,Female,Vegetarian,Mar,Winter,V4
183,135,1425,Aloo Gobi,"Potatoes, Cauliflower",1.5,2024-03-16,1,161,Bellary,24,Male,Vegetarian,Mar,Summer,V4
129,142,1310,Mutton Keema,Minced Mutton,1.2,2024-02-21,2,140,Chapra,37,Female,Non-Vegetarian,Feb,Summer,V7
179,136,1262,Masoor Dal,"Red Lentils, Tomatoes",4.0,2024-01-26,1,195,Serampore,31,Male,Vegetarian,Jan,Winter,V8
119,123,1074,Haldi Ki Sabzi,"Turmeric Root, Yogurt",1.3,2024-08-29,2,83,Tadepalligudem,47,Female,Vegetarian,Aug,Winter,V3
6,141,1250,Haldi Ki Sabzi,"Turmeric Root, Yogurt",3.5,2024-05-02,3,113,Kulti,21,Female,Vegetarian,May,Winter,V7
34,129,1158,Dosa,"Rice, Urad Dal, Potatoes",3.3,2024-03-11,3,83,Ajmer,20,Female,Vegetarian,Mar,Winter,V10
143,125,1144,Aloo Gobi,"Potatoes, Cauliflower",4.1,2024-02-02,5,123,Ahmednagar,41,Male,Vegetarian,Feb,Monsoon,V2
83,106,1049,Rava Upma,"Semolina, Mustard Seeds, Curry Leaves, Vegetables",3.3,2024-09-12,1,198,Machilipatnam,40,Female,Vegetarian,Sep,Winter,V7
106,127,1335,Idli,"Rice, Urad Dal, Fenugreek Seeds",2.5,2024-03-21,1,71,Alwar,38,Female,Vegetarian,Mar,Winter,V8
92,133,1356,Sabudana Khichdi,"Sabudana, Peanuts, Potatoes",2.8,2024-07-29,4,193,Mau,30,Female,Vegetarian,Jul,Monsoon,V5
163,115,1282,Aloo Paratha,"Potatoes, Wheat Flour, Ghee",1.4,2024-08-18,3,136,Bongaigaon,43,Male,Vegetarian,Aug,Summer,V4
142,119,1047,Chawal,"Rice, Water",2.9,2024-04-13,4,79,Sangli-Miraj & Kupwad,44,Female,Vegetarian,Apr,Monsoon,V4
194,116,1354,Idli,"Rice, Urad Dal, Fenugreek Seeds",4.0,2024-09-19,2,143,Pimpri-Chinchwad,28,Female,Vegetarian,Sep,Winter,V3
12,141,1294,Rajma Chawal,"Kidney Beans, Rice",1.4,2024-08-21,1,177,Muzaffarpur,23,Male,Vegetarian,Aug,Monsoon,V4
37,110,1326,Sabudana Khichdi,"Sabudana, Peanuts, Potatoes",3.2,2024-06-26,5,158,Tiruppur,49,Male,Vegetarian,Jun,Summer,V2
131,146,1153,Aloo Gobi,"Potatoes, Cauliflower",3.3,2024-07-02,3,160,Muzaffarpurs,21,Female,Vegetarian,Jul,Winter,V10
80,106,1489,Gajar Halwa,"Carrots, Milk, Sugar, Ghee, Cardamom",1.3,2024-04-07,3,59,Raichur,38,Female,Vegetarian,Apr,Winter,V4
174,102,1114,Chicken Curry,"Chicken, Tomatoes",1.7,2024-09-07,5,67,Fatehpur,27,Male,Non-Vegetarian,Sep,Monsoon,V9
14,131,1381,Rava Upma,"Semolina, Mustard Seeds, Curry Leaves, Vegetables",3.5,2024-04-24,5,136,Darbhanga,48,Female,Vegetarian,Apr,Summer,V1
127,109,1437,Aloo Paratha,"Potatoes, Wheat Flour, Ghee",1.7,2024-09-08,3,120,Sikar,32,Female,Vegetarian,Sep,Monsoon,V1
51,125,1461,Dosa,"Rice, Urad Dal, Potatoes",1.2,2024-05-21,2,90,Bathinda,42,Male,Vegetarian,May,Summer,V7
39,100,1334,Kadhi,"Gram Flour, Yogurt",4.1,2024-05-29,5,139,Sultan Pur Majra,21,Female,Vegetarian,May,Monsoon,V9
85,130,1019,Chawal,"Rice, Water",4.4,2024-04-29,1,139,Sultan Pur Majra,48,Male,Vegetarian,Apr,Monsoon,V4
136,112,1133,Masoor Dal,"Red Lentils, Tomatoes",1.1,2024-01-24,5,85,Bhubaneswar,28,Female,Vegetarian,Jan,Summer,V8
76,111,1432,Sabudana Khichdi,"Sabudana, Peanuts, Potatoes",3.1,2024-01-09,3,113,Siwan,42,Male,Vegetarian,Jan,Summer,V1
127,109,1437,Aloo Paratha,"Potatoes, Wheat Flour, Ghee",1.7,2024-09-08,3,120,Sikar,32,Female,Vegetarian,Sep,Monsoon,V1
25,122,1277,Aloo Gobi,"Potatoes, Cauliflower",4.3,2024-03-08,5,112,Korba,27,Male,Vegetarian,Mar,Monsoon,V5
194,116,1354,Idli,"Rice, Urad Dal, Fenugreek Seeds",4.0,2024-09-19,2,143,Pimpri-Chinchwad,28,Female,Vegetarian,Sep,Winter,V3
118,146,1269,Poha,"Flattened Rice, Mustard Seeds, Curry Leaves",3.6,2024-07-28,3,81,Jamshedpur,47,Male,Vegetarian,Jul,Summer,V2
84,140,1221,Korma,"Meat or Vegetables, Yogurt",4.7,2024-07-20,5,143,Malda,48,Male,Non-Vegetarian,Jul,Monsoon,V10
151,127,1233,Rajma Chawal,"Kidney Beans, Rice",4.1,2024-07-10,4,77,Katni,34,Male,Vegetarian,Jul,Summer,V6
52,144,1029,Chicken Curry,"Chicken, Tomatoes",4.3,2024-02-13,4,60,Latur,45,Female,Non-Vegetarian,Feb,Monsoon,V2
57,130,1196,Egg Curry,"Eggs, Tomatoes",2.3,2024-02-24,4,73,Junagadh,48,Male,Non-Vegetarian,Feb,Summer,V10
54,102,1441,Korma,"Meat or Vegetables, Yogurt",2.4,2024-04-06,5,90,Bijapur,29,Female,Non-Vegetarian,Apr,Winter,V2
195,130,1493,Poha,"Flattened Rice, Mustard Seeds, Curry Leaves",1.3,2024-04-19,3,69,Nadiad,23,Male,Vegetarian,Apr,Summer,V4
18,145,1311,Palak Paneer,"Spinach, Paneer, Tomatoes",2.9,2024-07-09,4,194,Asansol,44,Male,Vegetarian,Jul,Summer,V2
138,127,1060,Korma,"Meat or Vegetables, Yogurt",4.0,2024-01-26,1,187,Bardhaman,42,Male,Non-Vegetarian,Jan,Winter,V3
52,144,1029,Chicken Curry,"Chicken, Tomatoes",4.3,2024-02-13,4,60,Latur,45,Female,Non-Vegetarian,Feb,Monsoon,V2
194,116,1354,Idli,"Rice, Urad Dal, Fenugreek Seeds",4.0,2024-09-19,2,143,Pimpri-Chinchwad,28,Female,Vegetarian,Sep,Winter,V3
3,106,1337,Thepla,"Wheat Flour, Fenugreek Leaves",4.4,2024-03-02,3,98,Bettiah,38,Female,Vegetarian,Mar,Monsoon,V3
33,138,1137,Matar Paneer,"Paneer, Peas, Tomatoes",4.8,2024-07-26,2,50,Thrissur,45,Female,Vegetarian,Jul,Monsoon,V9
53,106,1191,Rava Upma,"Semolina, Mustard Seeds, Curry Leaves, Vegetables",4.6,2024-02-22,5,93,Gaya,35,Female,Vegetarian,Feb,Winter,V8
59,142,1071,Biryani,"Basmati Rice, Chicken or Vegetables",4.3,2024-07-23,5,101,Ghaziabad,27,Female,Non-Vegetarian,Jul,Winter,V8
62,144,1409,Dosa,"Rice, Urad Dal, Potatoes",3.0,2024-03-14,2,176,Jhansi,43,Male,Vegetarian,Mar,Summer,V4
51,125,1461,Dosa,"Rice, Urad Dal, Potatoes",1.2,2024-05-21,2,90,Bathinda,42,Male,Vegetarian,May,Summer,V7
